year_added,country,total_count
2008,MOVIE + TV SHOW,2
2008,MOVIE,0
2008,TV SHOW,2
2009,MOVIE + TV SHOW,2
2009,MOVIE,2
2009,TV SHOW,0
2010,MOVIE + TV SHOW,1
2010,MOVIE,1
2010,TV SHOW,0
2011,MOVIE + TV SHOW,13
2011,MOVIE,10
2011,TV SHOW,3
2012,MOVIE + TV SHOW,3
2012,MOVIE,3
2012,TV SHOW,0
2013,MOVIE + TV SHOW,11
2013,MOVIE,10
2013,TV SHOW,1
2014,MOVIE + TV SHOW,24
2014,MOVIE,19
2014,TV SHOW,5
2015,MOVIE + TV SHOW,82
2015,MOVIE,70
2015,TV SHOW,12
2016,MOVIE + TV SHOW,429
2016,MOVIE,352
2016,TV SHOW,77
2017,MOVIE + TV SHOW,1188
2017,MOVIE,934
2017,TV SHOW,254
2018,MOVIE + TV SHOW,1649
2018,MOVIE,1261
2018,TV SHOW,388
2019,MOVIE + TV SHOW,2016
2019,MOVIE,1281
2019,TV SHOW,735
